Episode,Total Episodes,Train Score,Test Score,Prey Epsilon,Predator Epsilon
1000,20000,-0.3922420881787592,-0.48010148646392115,0.7114204295728146,1.0
2000,20000,0.0457481220953194,-1.3628173624016928,0.5057749819433472,1.0
3000,20000,0.9384474250253304,-1.3703643958135774,0.35878027499840726,1.0
4000,20000,0.5574601439229626,-0.46394172671595785,0.2547718508292594,1.0
5000,20000,0.8312432837731097,-0.471010229444513,0.18077383624152385,1.0
6000,20000,0.803915975121676,-0.4621695654334939,0.1283017629184472,1.0
7000,20000,1.0072753997938044,-0.44268339538131246,0.09999935800483827,1.0
8000,20000,0.8478732662067409,-0.46815809612145165,0.09999935800483827,1.0
9000,20000,1.1485036931858534,-0.4519601084219168,0.09999935800483827,1.0
10000,20000,1.1790118112551682,-0.4774603688196626,0.09999935800483827,1.0
11000,20000,1.2096819401695087,-0.4678058373269498,0.09999935800483827,1.0
12000,20000,0.9847242812902803,-0.4647237471064282,0.09999935800483827,1.0
13000,20000,1.4955539597099508,-1.3694016010402927,0.09999935800483827,1.0
14000,20000,1.277721898327956,-0.4523941498204859,0.09999935800483827,1.0
15000,20000,1.9925443747688283,-0.47632756763467565,0.09999935800483827,1.0
16000,20000,1.4576342216357945,-0.4520529633766924,0.09999935800483827,1.0
17000,20000,1.6698038561330193,-0.45489466684624585,0.09999935800483827,1.0
18000,20000,1.477157509002052,-0.4742051494886665,0.09999935800483827,1.0
19000,20000,1.217159034366112,-0.46541234226208417,0.09999935800483827,1.0
20000,20000,2.0765160333915187,-1.3630205646600677,0.09999935800483827,1.0
