Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
500,103,-48.962,-0.09751539813898721,-19.596,-0.0979615262484099
1000,103,-49.164,-0.09772098249423737,-19.576,-0.09786589744328941
1500,105,-48.874,-0.09702820099011303,-19.642,-0.09817062530574262
2000,102,-49.156,-0.09810864782047812,-19.388,-0.09684380352393794
2500,102,-49.086,-0.09797504314252319,-19.224,-0.09611540986281258
3000,101,-49.276,-0.09837734846477317,-19.374,-0.09685501246374774
3500,101,-49.696,-0.09929930392061724,-19.7,-0.09848742304479231
4000,101,-48.996,-0.09789152817184664,-18.956,-0.09475447317487089
4500,102,-48.562,-0.0969580530352776,-18.678,-0.09329418467781764
5000,102,-48.488,-0.09670842373157104,-18.498,-0.0923477585495215
5500,103,-47.794,-0.09553519079032656,-17.78,-0.08868088562581093
6000,102,-46.502,-0.09349005806128251,-16.014,-0.07992243288419516
6500,103,-45.102,-0.09104310723375025,-14.304,-0.07122889300655595
7000,105,-44.976,-0.09045839886206107,-14.896,-0.07412335485507397
7500,105,-42.408,-0.08640567448785758,-12.374,-0.061150272500446474
8000,104,-39.782,-0.08304593034502386,-9.224,-0.04507446081586607
8500,106,-38.216,-0.08055747225427376,-8.292,-0.04058908153640553
9000,104,-37.934,-0.08067035045733043,-7.748,-0.038056776269634315
9500,103,-36.464,-0.07859522526996855,-5.504,-0.027467114845949228
10000,103,-36.33,-0.07858451276206359,-5.68,-0.028748146987064703
10500,103,-33.894,-0.07493310037314757,-3.79,-0.019443048810603006
11000,104,-33.93,-0.07480324148573551,-4.172,-0.02057224610070914
11500,106,-34.924,-0.07582172909507329,-5.798,-0.028486015784407948
12000,106,-34.026,-0.0738197893468051,-5.42,-0.027177699907343884
12500,111,-33.808,-0.0719074692685091,-8.048,-0.0375650207349807
13000,133,-17.252,-0.037078766721729224,-12.954,-0.05737526837776533
13500,144,3.308,0.0008223264494741733,-13.978,-0.056330463190008326
14000,139,-5.646,-0.014203220852433626,-10.82,-0.04464969876988304
14500,146,19.95,0.024085936417442548,-7.772,-0.03435340898963722
15000,147,28.908,0.03516445412449181,-7.504,-0.03447605694922012
15500,141,16.248,0.01735248285166677,-7.608,-0.03360126108629012
16000,138,9.31,0.009371460681576401,-5.582,-0.02821541830613135
16500,142,24.336,0.0342807822563259,0.046,-0.0063508347527052155
17000,143,33.838,0.049244521912727005,2.922,0.004090833692486607
17500,136,34.238,0.05812016591489027,6.076,0.0166460616133446
18000,132,32.024,0.06339618816189481,7.196,0.022508159638378034
18500,133,35.16,0.06847938897565238,8.928,0.02687148204306951
19000,127,38.64,0.07858251231537312,12.33,0.03812701505364599
19500,121,38.182,0.08696283528355944,14.006,0.04500157291245041
20000,116,34.808,0.08485703687971097,14.382,0.048155956773045884
