Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
500,118,-32.638,-0.06762100422433887,-13.668,-0.06602652133935677
1000,121,-32.214,-0.06566434119840335,-14.274,-0.06879798379218739
1500,120,-32.074,-0.06523866707326285,-14.174,-0.0672267213999413
2000,118,-32.324,-0.06587652831244811,-13.874,-0.06659528932719809
2500,120,-32.964,-0.06731854696958138,-14.352,-0.06899066925500087
3000,119,-32.754,-0.0672999871946387,-13.984,-0.06659382982891929
3500,118,-32.366,-0.06717626729085269,-13.474,-0.06517451863940105
4000,119,-32.114,-0.06611223624851577,-13.836,-0.0666868996017791
4500,120,-32.808,-0.06707099660867215,-14.158,-0.06736236956174153
5000,120,-32.536,-0.06672818608698217,-13.422,-0.06413957735768842
5500,118,-32.576,-0.06712062726808209,-13.206,-0.06501159514988109
6000,120,-30.91,-0.06338376010333015,-12.654,-0.06027667620531939
6500,119,-30.768,-0.06387936919482576,-12.98,-0.062142590991762475
7000,120,-32.746,-0.06727126669229866,-14.632,-0.06993019234671578
7500,123,-32.58,-0.06573767075259739,-14.61,-0.06974296361761666
8000,121,-30.558,-0.06239684027971845,-13.582,-0.06548300876573106
8500,119,-30.674,-0.06326921396188102,-13.042,-0.0632583918691061
9000,119,-29.398,-0.061108634266800486,-12.384,-0.05946661200171443
9500,118,-30.766,-0.063448196839132,-12.594,-0.06096500112008744
10000,120,-28.74,-0.05909979563602377,-12.56,-0.05962944088902419
10500,118,-29.908,-0.06234930327043299,-11.902,-0.05752924424109006
11000,119,-29.228,-0.06038209031731959,-11.928,-0.056826974683721825
11500,118,-30.498,-0.062300725389016015,-11.588,-0.05603162027276861
12000,117,-28.51,-0.059697597386071125,-10.782,-0.052015266244130075
12500,119,-27.772,-0.05780537460295586,-11.574,-0.05500333693723923
13000,119,-28.138,-0.05838171988418531,-11.776,-0.05545398552369854
13500,118,-29.484,-0.06140023446510437,-12.314,-0.05942980952732563
14000,120,-30.308,-0.06193179551236238,-12.694,-0.06144484589911149
14500,121,-28.74,-0.05926976293083628,-13.01,-0.06204436109111661
15000,118,-30.756,-0.06309434608051219,-12.202,-0.05862652426175709
15500,120,-30.394,-0.06228881698881086,-12.98,-0.0627348677719159
16000,119,-30.978,-0.06413940362130965,-12.244,-0.05945132643383476
16500,118,-29.212,-0.060650019679024926,-11.788,-0.05621904142184447
17000,119,-29.236,-0.06066034881087871,-12.464,-0.059465236379395256
17500,119,-30.77,-0.06325730676128956,-12.806,-0.062179715028821074
18000,118,-31.952,-0.06528228689016205,-12.55,-0.06092950414629363
18500,119,-30.678,-0.0630102881727449,-13.336,-0.06408926015045402
19000,118,-30.686,-0.06290467786760248,-12.99,-0.0626928921118644
19500,119,-30.046,-0.06180801200501187,-12.872,-0.061571538735823196
20000,119,-30.618,-0.06298290794232543,-12.74,-0.0601212366395825
20500,119,-29.738,-0.0615175881029473,-12.58,-0.06041276167937685
21000,120,-28.09,-0.05843227869642808,-12.762,-0.061176580528752286
21500,119,-30.656,-0.06344447268934844,-12.772,-0.06226178511268236
22000,121,-28.01,-0.05848854797528132,-12.09,-0.05852597457689401
22500,122,-28.11,-0.05741636347289477,-12.612,-0.060322531761161834
23000,119,-30.662,-0.06257049136677113,-12.974,-0.06114962897715058
23500,120,-29.372,-0.061492491596240255,-12.158,-0.05887358858596171
24000,120,-29.01,-0.0601751943185904,-12.362,-0.05879012452838291
24500,119,-30.316,-0.06202887628546811,-12.252,-0.05913898475062388
25000,118,-30.174,-0.0621521201497745,-12.182,-0.05690549529000692
25500,118,-30.642,-0.06324663980905411,-11.708,-0.057345598503991194
26000,120,-28.958,-0.059729810342924856,-12.9,-0.06120609468793273
26500,120,-29.856,-0.06125599760100837,-12.762,-0.06061020689074977
27000,119,-30.158,-0.06267321694633966,-12.14,-0.05833805106711582
27500,117,-30.302,-0.06288387948182478,-12.07,-0.057173539271766084
28000,117,-29.636,-0.06189651979123746,-11.34,-0.052707838044629925
28500,119,-30.408,-0.06260455576253696,-12.552,-0.060945543275187926
29000,118,-28.71,-0.058851112876287574,-11.792,-0.053512752919701104
29500,119,-28.228,-0.058722007858138706,-11.434,-0.05525651086609618
30000,119,-28.688,-0.059760442712533876,-11.042,-0.05333870616973928
30500,120,-28.67,-0.05881617657815289,-11.826,-0.055780521819213384
31000,119,-27.602,-0.05695916684744515,-11.13,-0.052593072735560305
31500,118,-27.664,-0.05699372678693655,-11.286,-0.05381619489223707
32000,118,-30.342,-0.06298666905281869,-11.012,-0.053126034398513856
32500,118,-30.584,-0.06322317249525602,-12.264,-0.0589207809144413
33000,121,-27.29,-0.056916343564357444,-11.788,-0.05497830280990286
33500,119,-28.646,-0.059262345179045973,-11.732,-0.05540730800810497
34000,118,-29.824,-0.062311131542013606,-11.378,-0.05538797745876626
34500,120,-28.09,-0.0581785125663638,-11.892,-0.05608556247294275
35000,118,-29.716,-0.061359554582190265,-12.12,-0.05790437598668288
35500,117,-28.812,-0.06058082072041191,-11.226,-0.05385987556558576
36000,117,-30.338,-0.062092192623276275,-11.474,-0.05353325598732556
36500,118,-28.216,-0.05878927469834694,-11.748,-0.05568987817300446
37000,117,-29.404,-0.06221545243460622,-11.378,-0.053744751193146235
37500,119,-27.676,-0.05776307185561896,-10.972,-0.05207230717197953
38000,118,-29.232,-0.06111087447379661,-11.312,-0.05468949054588229
38500,120,-28.99,-0.05949534496900378,-12.316,-0.05838307287091075
39000,119,-28.424,-0.059192402210047644,-11.488,-0.054920310727926955
