Episode,Avg length,Avg prey reward,Avg predator reward
20,289,-0.07784976273919818,0.20323146144533002
40,264,-0.07088166760449766,0.22852296214238263
60,197,-0.07694793170290637,0.20863591130419992
80,238,-0.08378084567365975,0.2126337938961543
100,200,-0.07231002405771755,0.22085438225052362
120,178,-0.08778108066105397,0.21915479002547283
140,188,-0.08534798770317195,0.23019674772634366
160,253,-0.08442274199741415,0.22395362194459162
180,187,-0.08633279194542769,0.206730317701999
200,208,-0.08872057905830212,0.22774021212627646
220,265,-0.07102148162737737,0.21983659908110864
240,307,-0.07405572811112321,0.23144486686588134
260,318,-0.07212972630104042,0.21817381905701416
280,208,-0.08161514578359481,0.253480831437377
300,210,-0.08779314212080193,0.24179675867032896
320,243,-0.07518596461350652,0.23686028184556185
340,321,-0.08652281495729396,0.2117359417907255
360,259,-0.07443867407305686,0.2485201820321467
380,342,-0.06526284565326643,0.22688338269348501
400,296,-0.0620279169322173,0.24288134796071134
420,220,-0.07191838412847666,0.24161955847800104
440,304,-0.06322158680294607,0.2425340278719728
460,299,-0.05660381506647916,0.21571561139079617
480,304,-0.05808811713378842,0.23466633413896587
500,366,-0.051563099712489215,0.21654402397054423
520,397,-0.040505151557922656,0.2218354371181004
540,376,-0.06010800371815476,0.2184838009295428
560,471,-0.031598141823681154,0.20424934330322825
580,331,-0.04452021498082738,0.2140520766558775
600,432,-0.05291518205674539,0.21394785152775614
620,503,-0.01380993225138323,0.1904054034513432
640,592,0.002823155337828039,0.16708296253157912
660,524,0.012592103375672917,0.16816286622881507
680,643,0.02646202022317925,0.14453414667310896
700,474,-0.003503563637459081,0.1697197735434966
720,604,0.01640028343407285,0.160063914340984
740,502,0.012677012790482828,0.1736288247722481
760,563,0.015956356010229922,0.1735950642943787
780,586,0.02279604746226465,0.14914381650603398
800,558,0.03164623530104026,0.15551148625767858
820,542,0.012364835700290488,0.1740993733429838
840,545,0.03132700373822466,0.16484585014897696
860,601,0.03544813669612208,0.14384091997870924
880,571,0.03494651675110035,0.1740002815243487
900,558,0.038928460615141006,0.15885006928569173
920,526,0.0334868518975238,0.16818086086380965
940,440,0.04287842461241857,0.1807372933775767
960,560,0.049778124712604344,0.17154118109969746
980,546,0.048950252338941014,0.16592314410206507
1000,553,0.047670510863864465,0.15867225318444755
1020,550,0.03635196362033073,0.17899305898837065
1040,600,0.02424775313756977,0.15793565166600237
1060,567,0.04068232540203835,0.15282629884170684
1080,596,0.03133349158113592,0.16835308953756328
1100,515,0.032069902179635346,0.18086468051806687
1120,491,0.03977912684772522,0.17709844993907137
1140,552,0.0301240932692098,0.1657875395476809
1160,470,0.036319508100802665,0.16643788165433132
1180,506,0.032372663673071615,0.1708475982006757
1200,642,0.04660818545672877,0.1390751100419034
1220,555,0.04035951552316162,0.15265471982022308
1240,496,0.03915205678195841,0.16953913612208776
1260,546,0.03615836111693828,0.16992060658879068
1280,514,0.04538477312068685,0.1648620153265232
1300,474,0.025836072141188375,0.19455943733544648
1320,523,0.03714127933882665,0.17961805619010635
1340,468,0.03162255100759574,0.19628182720583087
1360,444,0.04547681940296968,0.19564745398795527
1380,484,0.05856026788092146,0.19350949211951665
1400,445,0.03227083966477393,0.21132254686320406
1420,519,0.036964303047238044,0.203796303471823
1440,478,0.038879206659540824,0.18419992017626186
1460,588,0.041546647100479325,0.2027359086438838
1480,536,0.04548565090768218,0.1953960806937736
1500,414,0.030277206205924695,0.21550052200715508
1520,442,0.032315649754566654,0.22411815670839083
1540,470,0.027745135573467077,0.2190966706873818
1560,440,0.018285826182675095,0.23671345516197598
1580,450,0.03472114134972101,0.23790911143964846
1600,353,0.019154418888394652,0.23885442499343063
