Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
20,100,-1.0,-0.010000000000000002,0.0,0.0
40,100,-1.0,-0.010000000000000002,0.0,0.0
60,145,4.9,-0.0036499999999999996,0.0,0.0
80,104,-0.55,-0.006668269230769229,0.0,0.0
100,158,5.5,0.0032677631578947376,0.0,0.0
120,172,6.2,0.0028858352468427106,0.0,0.0
140,140,3.05,0.006102777100860117,0.0,0.0
160,151,4.1,0.00953915012942191,0.0,0.0
180,211,10.1,0.02158004513253225,0.0,0.0
200,389,27.95,0.05889576835186857,0.0,0.0
220,401,29.15,0.06531690482336508,0.0,0.0
240,335,22.55,0.0571856259208135,0.0,0.0
260,353,24.35,0.05925028658184391,0.0,0.0
280,341,23.15,0.04527439887139836,0.0,0.0
300,421,31.1,0.06403519949926753,0.0,0.0
320,379,26.9,0.059296892815446325,0.0,0.0
340,341,23.15,0.05130821046895738,0.0,0.0
360,304,19.4,0.03873407751337121,0.0,0.0
380,262,15.2,0.02760560396980577,0.0,0.0
400,271,16.1,0.03444759967377816,0.0,0.0
420,395,28.55,0.05976312559225122,0.0,0.0
440,304,19.4,0.053184347421295984,0.0,0.0
460,370,26.0,0.06148506333165271,0.0,0.0
480,394,28.4,0.06818544769447035,0.0,0.0
500,328,21.8,0.05615368989118106,0.0,0.0
520,431,32.15,0.07239972519457083,0.0,0.0
540,344,23.45,0.05807040269088683,0.0,0.0
560,353,24.35,0.06468957580098693,0.0,0.0
580,358,24.8,0.06620720367165721,0.0,0.0
600,322,21.2,0.06306144113789196,0.0,0.0
620,343,23.3,0.06373075142850466,0.0,0.0
640,322,21.2,0.06112226750609081,0.0,0.0
660,383,27.35,0.06619714922889952,0.0,0.0
680,403,29.3,0.07066711656930061,0.0,0.0
700,400,29.0,0.0636725204507765,0.0,0.0
720,490,45.05,0.07643459392594101,0.0,0.0
740,557,47.65,0.05793096383495626,0.0,0.0
760,490,54.6,0.057378841753212464,0.0,0.0
780,784,86.3,0.09012582448421351,0.0,0.0
800,713,65.5,0.076471222357262,0.0,0.0
820,689,64.25,0.07628508890741433,0.0,0.0
840,850,96.7,0.10386325869335211,0.0,0.0
860,919,108.25,0.11077794117647062,0.0,0.0
880,898,102.2,0.11062617186609032,0.0,0.0
900,808,99.05,0.10238160304000248,0.0,0.0
920,692,72.6,0.08352913642281126,0.0,0.0
940,571,58.75,0.06295211144355621,0.0,0.0
960,749,86.5,0.10062708019478266,0.0,0.0
980,650,83.5,0.0872147513628739,0.0,0.0
1000,749,93.1,0.09282755102040816,0.0,0.0
