Episode: 1000/200000, Score: 5.335830000213433, Prey Epsilon: 0.9492301294139147, Predator Epsilon: 1.0
Episode: 2000/200000, Score: 6.594634213878961, Prey Epsilon: 0.9005730228790563, Predator Epsilon: 1.0
Episode: 3000/200000, Score: 7.421636634587695, Prey Epsilon: 0.8541537729520338, Predator Epsilon: 1.0
Episode: 4000/200000, Score: 7.350216935499538, Prey Epsilon: 0.8101433654304678, Predator Epsilon: 1.0
Episode: 5000/200000, Score: 8.657216105678138, Prey Epsilon: 0.7680625791012232, Predator Epsilon: 1.0
Episode: 6000/200000, Score: 8.357758645403875, Prey Epsilon: 0.7284588949402971, Predator Epsilon: 1.0
Episode: 7000/200000, Score: 8.875980128034852, Prey Epsilon: 0.6906071833206278, Predator Epsilon: 1.0
Episode: 8000/200000, Score: 8.5628994929236, Prey Epsilon: 0.6551021471187146, Predator Epsilon: 1.0
Episode: 9000/200000, Score: 8.522531046210005, Prey Epsilon: 0.6216089269280938, Predator Epsilon: 1.0
Episode: 10000/200000, Score: 9.382045023877756, Prey Epsilon: 0.5894507357203889, Predator Epsilon: 1.0
Episode: 11000/200000, Score: 9.755510559269013, Prey Epsilon: 0.5589562099089737, Predator Epsilon: 1.0
Episode: 12000/200000, Score: 8.835034654229808, Prey Epsilon: 0.5302725504204475, Predator Epsilon: 1.0
Episode: 13000/200000, Score: 9.406062347444243, Prey Epsilon: 0.502970292255174, Predator Epsilon: 1.0
Episode: 14000/200000, Score: 9.666580471732086, Prey Epsilon: 0.47704512782218084, Predator Epsilon: 1.0
Episode: 15000/200000, Score: 8.703571118461676, Prey Epsilon: 0.45265537795295874, Predator Epsilon: 1.0
Episode: 16000/200000, Score: 9.091329599691166, Prey Epsilon: 0.42952977670433123, Predator Epsilon: 1.0
Episode: 17000/200000, Score: 10.014730006870575, Prey Epsilon: 0.40738189178300716, Predator Epsilon: 1.0
Episode: 18000/200000, Score: 9.264823811589354, Prey Epsilon: 0.3865537942669476, Predator Epsilon: 1.0
Episode: 19000/200000, Score: 9.336293111679552, Prey Epsilon: 0.3667979048246859, Predator Epsilon: 1.0
Episode: 20000/200000, Score: 9.848633210049712, Prey Epsilon: 0.3479472942998479, Predator Epsilon: 1.0
Episode: 21000/200000, Score: 9.082369294245064, Prey Epsilon: 0.33020411780994174, Predator Epsilon: 1.0
Episode: 22000/200000, Score: 9.011791356824874, Prey Epsilon: 0.3134409512433519, Predator Epsilon: 1.0
Episode: 23000/200000, Score: 9.045323398786428, Prey Epsilon: 0.29754663709251344, Predator Epsilon: 1.0
Episode: 24000/200000, Score: 9.717681622112634, Prey Epsilon: 0.28224936770859055, Predator Epsilon: 1.0
Episode: 25000/200000, Score: 9.008760174813437, Prey Epsilon: 0.26789388478316445, Predator Epsilon: 1.0
Episode: 26000/200000, Score: 9.563688977261661, Prey Epsilon: 0.2542024347223247, Predator Epsilon: 1.0
Episode: 27000/200000, Score: 9.143103458372861, Prey Epsilon: 0.2413072272958777, Predator Epsilon: 1.0
Episode: 28000/200000, Score: 9.217355862227016, Prey Epsilon: 0.22900661980968887, Predator Epsilon: 1.0
Episode: 29000/200000, Score: 8.902927480676833, Prey Epsilon: 0.2174112883379266, Predator Epsilon: 1.0
Episode: 30000/200000, Score: 8.550149067571489, Prey Epsilon: 0.20645260796693396, Predator Epsilon: 1.0
Episode: 31000/200000, Score: 9.04611667232263, Prey Epsilon: 0.19599533769949154, Predator Epsilon: 1.0
Episode: 32000/200000, Score: 8.9324210612349, Prey Epsilon: 0.18610869016400997, Predator Epsilon: 1.0
Episode: 33000/200000, Score: 8.752427166545033, Prey Epsilon: 0.17673489577986512, Predator Epsilon: 1.0
Episode: 34000/200000, Score: 9.107926321409563, Prey Epsilon: 0.16777953616188124, Predator Epsilon: 1.0
Episode: 35000/200000, Score: 9.221604443721532, Prey Epsilon: 0.1592811404657992, Predator Epsilon: 1.0
Episode: 36000/200000, Score: 9.301572277589273, Prey Epsilon: 0.15123135353554432, Predator Epsilon: 1.0
Episode: 37000/200000, Score: 9.991026474806876, Prey Epsilon: 0.1435596737762463, Predator Epsilon: 1.0
Episode: 38000/200000, Score: 9.316832203035043, Prey Epsilon: 0.13635350038508748, Predator Epsilon: 1.0
Episode: 39000/200000, Score: 9.602573780452044, Prey Epsilon: 0.12942619138865286, Predator Epsilon: 1.0
Episode: 40000/200000, Score: 9.085763808700882, Prey Epsilon: 0.12293192601400238, Predator Epsilon: 1.0
Episode: 41000/200000, Score: 9.399741365589108, Prey Epsilon: 0.11670515858546225, Predator Epsilon: 1.0
Episode: 42000/200000, Score: 9.074187846517066, Prey Epsilon: 0.11084033354601174, Predator Epsilon: 1.0
Episode: 43000/200000, Score: 8.936974009632277, Prey Epsilon: 0.10529760943137563, Predator Epsilon: 1.0
Episode: 44000/200000, Score: 9.640782583725946, Prey Epsilon: 0.10001205248298105, Predator Epsilon: 1.0
Episode: 45000/200000, Score: 9.593335293118324, Prey Epsilon: 0.09498041292964322, Predator Epsilon: 1.0
Episode: 46000/200000, Score: 9.13092705458532, Prey Epsilon: 0.09019650487817694, Predator Epsilon: 1.0
Episode: 47000/200000, Score: 8.72457783758938, Prey Epsilon: 0.08569810085328111, Predator Epsilon: 1.0
Episode: 48000/200000, Score: 8.48569488404072, Prey Epsilon: 0.0813996238582918, Predator Epsilon: 1.0
Episode: 49000/200000, Score: 8.796008388772478, Prey Epsilon: 0.07731675146004727, Predator Epsilon: 1.0
Episode: 50000/200000, Score: 8.821728149177641, Prey Epsilon: 0.0734651119705025, Predator Epsilon: 1.0
Episode: 51000/200000, Score: 8.921951868467232, Prey Epsilon: 0.06980115896230343, Predator Epsilon: 1.0
Episode: 52000/200000, Score: 9.337024919331144, Prey Epsilon: 0.06629872066217438, Predator Epsilon: 1.0
Episode: 53000/200000, Score: 8.692580800057204, Prey Epsilon: 0.06298336147813764, Predator Epsilon: 1.0
Episode: 54000/200000, Score: 8.591249853248154, Prey Epsilon: 0.05984575937157694, Predator Epsilon: 1.0
Episode: 55000/200000, Score: 9.045540712462353, Prey Epsilon: 0.05684967835414529, Predator Epsilon: 1.0
Episode: 56000/200000, Score: 9.100912914384278, Prey Epsilon: 0.054014393081531324, Predator Epsilon: 1.0
Episode: 57000/200000, Score: 8.901514532710657, Prey Epsilon: 0.05131948665157531, Predator Epsilon: 1.0
Episode: 58000/200000, Score: 8.480010398449727, Prey Epsilon: 0.04999997624336866, Predator Epsilon: 1.0
Episode: 59000/200000, Score: 8.86094051167019, Prey Epsilon: 0.04999997624336866, Predator Epsilon: 1.0
Episode: 60000/200000, Score: 8.908719171419722, Prey Epsilon: 0.04999997624336866, Predator Epsilon: 1.0
Episode: 61000/200000, Score: 9.640069651416681, Prey Epsilon: 0.04999997624336866, Predator Epsilon: 1.0
