Episode: 100/20000, Score: -10.0, Prey Epsilon: 0.9513815148421662, Predator Epsilon: 1.0
Episode: 200/20000, Score: -7.51, Prey Epsilon: 0.9040774458227729, Predator Epsilon: 1.0
Episode: 300/20000, Score: -9.575, Prey Epsilon: 0.8598129807717555, Predator Epsilon: 1.0
Episode: 400/20000, Score: -10.0, Prey Epsilon: 0.817879304642233, Predator Epsilon: 1.0
Episode: 500/20000, Score: -5.69, Prey Epsilon: 0.7765916357375, Predator Epsilon: 1.0
Episode: 600/20000, Score: -3.64, Prey Epsilon: 0.7367985488270423, Predator Epsilon: 1.0
Episode: 700/20000, Score: -6.085, Prey Epsilon: 0.6997438827991285, Predator Epsilon: 1.0
Episode: 800/20000, Score: -4.79, Prey Epsilon: 0.6641541365366999, Predator Epsilon: 1.0
Episode: 900/20000, Score: -3.38, Prey Epsilon: 0.6299964118387342, Predator Epsilon: 1.0
Episode: 1000/20000, Score: -4.18, Prey Epsilon: 0.5978345197767757, Predator Epsilon: 1.0
Episode: 1100/20000, Score: -2.545, Prey Epsilon: 0.5669742342037073, Predator Epsilon: 1.0
Episode: 1200/20000, Score: -6.135, Prey Epsilon: 0.5384602788921878, Predator Epsilon: 1.0
Episode: 1300/20000, Score: 2.24, Prey Epsilon: 0.5096445866578015, Predator Epsilon: 1.0
Episode: 1400/20000, Score: 7.235, Prey Epsilon: 0.4814071854407778, Predator Epsilon: 1.0
Episode: 1500/20000, Score: -3.66, Prey Epsilon: 0.4567395517862223, Predator Epsilon: 1.0
Episode: 1600/20000, Score: -4.215, Prey Epsilon: 0.433422580627448, Predator Epsilon: 1.0
Episode: 1700/20000, Score: 3.645, Prey Epsilon: 0.40998191536879075, Predator Epsilon: 1.0
Episode: 1800/20000, Score: 14.175, Prey Epsilon: 0.3861835985785716, Predator Epsilon: 1.0
Episode: 1900/20000, Score: 9.78, Prey Epsilon: 0.3644220796581031, Predator Epsilon: 1.0
Episode: 2000/20000, Score: 5.315, Prey Epsilon: 0.3445063817192527, Predator Epsilon: 1.0
Episode: 2100/20000, Score: 15.39, Prey Epsilon: 0.32431409132019695, Predator Epsilon: 1.0
Episode: 2200/20000, Score: 16.0, Prey Epsilon: 0.30524426116276976, Predator Epsilon: 1.0
Episode: 2300/20000, Score: 4.785, Prey Epsilon: 0.28862035452825907, Predator Epsilon: 1.0
Episode: 2400/20000, Score: 20.03, Prey Epsilon: 0.27121504138511887, Predator Epsilon: 1.0
Episode: 2500/20000, Score: 9.53, Prey Epsilon: 0.25593202243677277, Predator Epsilon: 1.0
Episode: 2600/20000, Score: 4.105, Prey Epsilon: 0.24204211316533417, Predator Epsilon: 1.0
Episode: 2700/20000, Score: 14.45, Prey Epsilon: 0.22794664362069383, Predator Epsilon: 1.0
Episode: 2800/20000, Score: 22.35, Prey Epsilon: 0.21398617804459452, Predator Epsilon: 1.0
Episode: 2900/20000, Score: 12.68, Prey Epsilon: 0.20168584748955612, Predator Epsilon: 1.0
Episode: 3000/20000, Score: 16.805, Prey Epsilon: 0.18975070351493656, Predator Epsilon: 1.0
Episode: 3100/20000, Score: 15.38, Prey Epsilon: 0.1786647193810378, Predator Epsilon: 1.0
Episode: 3200/20000, Score: 18.475, Prey Epsilon: 0.1679910693493817, Predator Epsilon: 1.0
Episode: 3300/20000, Score: 15.83, Prey Epsilon: 0.15811311077096518, Predator Epsilon: 1.0
Episode: 3400/20000, Score: 10.365, Prey Epsilon: 0.14914373745618936, Predator Epsilon: 1.0
Episode: 3500/20000, Score: 16.965, Prey Epsilon: 0.14031787286723083, Predator Epsilon: 1.0
Episode: 3600/20000, Score: 21.525, Prey Epsilon: 0.13177688302691418, Predator Epsilon: 1.0
Episode: 3700/20000, Score: 22.895, Prey Epsilon: 0.12368154217701818, Predator Epsilon: 1.0
Episode: 3800/20000, Score: 11.71, Prey Epsilon: 0.11661873130447781, Predator Epsilon: 1.0
Episode: 3900/20000, Score: 16.39, Prey Epsilon: 0.10973954164095515, Predator Epsilon: 1.0
Episode: 4000/20000, Score: 9.11, Prey Epsilon: 0.10357641094813716, Predator Epsilon: 1.0
Episode: 4100/20000, Score: 18.015, Prey Epsilon: 0.09740810851728604, Predator Epsilon: 1.0
Episode: 4200/20000, Score: 6.185, Prey Epsilon: 0.09204792039929713, Predator Epsilon: 1.0
Episode: 4300/20000, Score: 8.79, Prey Epsilon: 0.08689575408930557, Predator Epsilon: 1.0
Episode: 4400/20000, Score: 17.105, Prey Epsilon: 0.08175353241759112, Predator Epsilon: 1.0
Episode: 4500/20000, Score: 8.725, Prey Epsilon: 0.07717757031418256, Predator Epsilon: 1.0
Episode: 4600/20000, Score: 9.325, Prey Epsilon: 0.07282859961006763, Predator Epsilon: 1.0
