Episode          Prey Reward      Predator Reward         Total Reward
0                 3659                  390                 4049
1                   11                  102                  113
2                   15                  202                  217
3                42217                 4380                46597
4                   13                  302                  315
5                   18                  402                  420
6                   17                  602                  619
7                  349                  502                  851
8                  462                    3                  465
9                93639                 3545                97184
10                   20                  602                  622
11                   58                  803                  861
12                  146                 1605                 1751
13                  431                  502                  933
14                 3208                  511                 3719
15                   14                  702                  716
16                  111                 1003                 1114
17                  851                  502                 1353
18                  655                  508                 1163
19                   31                  402                  433
20                   26                  602                  628
21                   36                  802                  838
22                 1042                  510                 1552
23                   57                  703                  760
24                   12                  402                  414
25                   33                  602                  635
26                   14                  802                  816
27                  671                  503                 1174
28                 1047                  213                 1260
29                 1310                  203                 1513
30                   38                  602                  640
31                   22                  802                  824
32                  537                  902                 1439
33                   29                  602                  631
34                 2223                    6                 2229
35                  816                  703                 1519
36                   85                  803                  888
37                   10                  602                  612
38                   56                 1203                 1259
39                  425                  502                  927
40                   71                  703                  774
41                  422                  802                 1224
42                  487                  603                 1090
43                  228                  502                  730
44                   20                  302                  322
45                   66                  703                  769
46                   19                  502                  521
47                 1839                  611                 2450
48                 2040                   13                 2053
49                   12                  202                  214
50                   10                  402                  412
51                  899                 1323                 2222
52                 1047                  517                 1564
53                  519                    2                  521
54                  696                  703                 1399
55                 1122                  504                 1626
56                 1656                  522                 2178
57                   42                  502                  544
58                  323                  702                 1025
59                   12                  502                  514
60                  468                  503                  971
61                   30                  402                  432
62                   19                  602                  621
63                  843                  702                 1545
64                  594                  503                 1097
65                   23                  202                  225
66                  734                  311                 1045
67                  661                  503                 1164
68                 1686                    3                 1689
69                  980                  603                 1583
70                   20                  602                  622
71                  554                  802                 1356
72                 1206                    3                 1209
73                   77                  903                  980
74                   62                 1103                 1165
75                  541                  802                 1343
76                 1551                  218                 1769
77                  339                  502                  841
78                  122                  703                  825
79                 1847                  718                 2565
80                 1333                  911                 2244
81                  228                  502                  730
82                   31                  402                  433
83                   10                  602                  612
84                 1092                 1742                 2834
85                  821                  604                 1425
86                  459                    3                  462
87                  128                 1004                 1132
88                  966                  503                 1469
89                   13                  702                  715
90                   23                  302                  325
91                   52                  502                  554
92                   47                  702                  749
93                  426                  502                  928
94                  238                  602                  840
